Workload,time,instruction,cpu-cycle,armv8_pmuv3/stall_backen,armv8_pmuv3/stall_fronten,armv8_pmuv3/br_mis_pre,armv8_pmuv3/br_pre,armv8_pmuv3/br_retire,armv8_pmuv3/inst_spe,armv8_pmuv3/inst_retire,armv8_pmuv3/l1d_cach,armv8_pmuv3/l1d_cache_refil,armv8_pmuv3/l1d_cache_w,armv8_pmuv3/l1d_tl,armv8_pmuv3/l1d_tlb_refil,armv8_pmuv3/l1i_cach,armv8_pmuv3/l1i_cache_refil,armv8_pmuv3/l1i_tl,armv8_pmuv3/l1i_tlb_refil,armv8_pmuv3/l2d_cach,armv8_pmuv3/l2d_cache_allocat,armv8_pmuv3/l2d_cache_refil,armv8_pmuv3/l2d_cache_w,armv8_pmuv3/l2d_tl,armv8_pmuv3/l2d_tlb_refil,armv8_pmuv3/l3d_cach,armv8_pmuv3/l3d_cache_allocat,armv8_pmuv3/l3d_cache_refil,armv8_pmuv3/l3d_cache_w,armv8_pmuv3/mem_acces,IPC
500,2735.2,1.93606E+12,2.63662E+12,9.87437E+11,2.28968E+11,13363167619,2.96962E+11,3.4877E+11,1.98953E+12,1.94444E+12,7.97117E+11,9784052740,10720200030,7.94296E+11,36167236105,1.37385E+12,11025629823,1.53706E+12,11990770188,38303354209,10832394673,8727777322,8891338637,49027636647,418985675,17004400594,8753589108,1077693926,0,9.49928E+11,0.734294474
502,2286.01,7.73748E+11,2.01792E+12,1.26033E+12,1.51446E+11,9455369279,1.47943E+11,1.75675E+11,8.01402E+11,7.7265E+11,2.74688E+11,11149014399,15527375138,2.74991E+11,22354821520,5.93271E+11,7485647977,7.15125E+11,5205285656,46616566020,15824674712,12170924969,12361297953,28454121197,590786632,28704206811,16691633802,3867098485,0,3.40177E+11,0.383438637
503,5552.15,7.66567E+11,3.15409E+12,2.58009E+12,10126762671,978785640,42966071711,46757507782,7.68286E+11,7.61305E+11,3.39927E+11,49156792886,92595991291,3.39748E+11,8318749085,4.01121E+11,200371794,4.06414E+11,112650241,1.84808E+11,91763337589,25595591702,25586089991,15705103717,396765748,51266126884,25668242836,15985618485,0,3.55582E+11,0.24303913
505,2026.3,4.14931E+11,1.18047E+12,8.42005E+11,32104296509,6498417386,81468267560,90272029458,4.36296E+11,4.21257E+11,1.26641E+11,16633009606,26454339945,1.30563E+11,13991590602,3.14844E+11,131628358,3.14273E+11,67412538,53246234952,26640869733,21105325968,21209887760,14176878374,727841501,42702043012,20956363383,5176210151,0,1.55793E+11,0.35149738
507,3489.82,9.60074E+11,3.252E+12,2.62496E+12,10305693906,243048827,11823586359,14196855198,9.59813E+11,9.57787E+11,4.66776E+11,87808228813,95333191553,4.66461E+11,55951588014,4.86596E+11,465399973,4.98904E+11,190137812,1.92342E+11,95322041625,20625989999,20858352291,56378288268,157114843,41905257401,21302660370,5045963049,0,5.59804E+11,0.295225964
508,1282.59,1.13379E+12,1.23219E+12,4.84145E+11,9305888257,1492566289,24751998649,28992534682,1.14069E+12,1.13365E+12,3.49886E+11,14083318627,19794305744,3.50468E+11,3393900539,5.94065E+11,277194209,5.98137E+11,155543232,39170095856,19490986949,1925799518,1916190701,4115188981,26480221,3436975070,1776408658,367196575,0,4.05418E+11,0.920143437
510,3405.17,1.6107E+12,2.43172E+12,1.30082E+12,37556365624,7327807558,2.27807E+11,2.38632E+11,1.63166E+12,1.61331E+12,6.50673E+11,19486851006,56500991114,6.51417E+11,10408778331,9.81182E+11,695750945,9.96534E+11,382858261,1.16338E+11,57222570347,39920940185,40365702911,12102996228,382240624,81313817044,41573586847,7641170680,0,6.84251E+11,0.662370766
511,3209.72,2.34282E+12,3.15872E+12,1.1254E+12,1.46141E+11,20249901967,3.17712E+11,3.79921E+11,2.42287E+12,2.34935E+12,1.00149E+12,43127738452,46268794324,9.98316E+11,29175652218,1.65354E+12,6515874076,1.75314E+12,4226647732,1.02327E+11,45599937513,4027948061,4297861413,34277813455,35933814,7771132327,4239395766,16621188,0,1.17297E+12,0.741699316
519,3037.85,4.86878E+11,1.70423E+12,1.39103E+12,4401981202,137048298,6243591632,5906497590,4.94312E+11,5.04456E+11,1.26015E+11,21801381941,26680098528,1.27171E+11,945492562,2.50534E+11,143278621,2.57043E+11,75635937,53748542368,27100694205,19124505392,19056945400,1001259441,251291518,37981372950,18872691547,13009933346,0,1.35499E+11,0.285688791
520,3458.89,7.58203E+11,3.17125E+12,2.46948E+12,1.17285E+11,6294907435,1.26271E+11,1.57272E+11,8.07894E+11,7.83359E+11,2.97154E+11,21971099990,27489187898,2.96802E+11,34643782876,6.12173E+11,2949062400,6.7135E+11,14915571817,58998116696,27333725115,17001179352,17186956502,50581423642,4375106843,33979843267,17120674634,6895281058,0,3.4764E+11,0.239086551
521,3175.36,1.0035E+12,2.24707E+12,1.42077E+12,20306542138,1660379818,80361899188,91867862358,1.00905E+12,1.00602E+12,3.96963E+11,18821153491,32300981344,3.97507E+11,8684263153,5.5279E+11,474218531,5.67291E+11,152090149,66677292986,32689886869,16726324218,17073998936,9916725087,210157208,33725305201,17099763787,6747353634,0,3.89303E+11,0.446581611
523,1997.53,7.33926E+11,1.80727E+12,1.2274E+12,74729996254,3217291465,1.94471E+11,2.05817E+11,7.42231E+11,7.32245E+11,2.57527E+11,30031869211,43944453993,2.56582E+11,20355097829,4.76517E+11,2989826612,5.32728E+11,5252562287,93618046555,44673076442,33356226009,33848148159,26728255287,4545313814,67205041838,33836820650,1899991700,0,2.73469E+11,0.406096874
525,1674.88,1.60794E+12,1.56003E+12,4.10067E+11,84480991690,4375673929,79388588672,88331651848,1.62559E+12,1.6083E+12,4.13533E+11,5247726109,6280591883,4.1326E+11,7251885003,9.05207E+11,4655209435,9.9143E+11,1323593037,19837132591,6332518645,4164640705,4496555292,8845015968,268758437,8719575443,4384598497,815147101,0,4.84355E+11,1.030711141
526,1808.3,8.867E+11,1.36369E+12,3.71693E+11,3.04796E+11,15715470634,1.65228E+11,1.98418E+11,9.35408E+11,8.91555E+11,2.89131E+11,9007797168,11185552574,2.87825E+11,16621725055,7.27592E+11,13907195458,9.75692E+11,8001558324,43403643458,11518384008,11659430753,11964931496,1.84467E+19,345463659,1.84467E+19,12154232364,611987853,0,3.48188E+11,0.650221399
527,2043.75,1.06551E+12,1.7367E+12,8.94649E+11,43272078890,3566878896,1.17457E+11,1.31097E+11,1.06859E+12,1.06175E+12,3.24749E+11,14482130201,26541924677,3.22649E+11,6554112804,6.07548E+11,1667928499,6.52962E+11,569251793,57535477075,27273474433,14883330998,15821666374,8274280081,348575709,32061392916,16763086997,1682192137,0,3.78326E+11,0.613523236
531,1555.61,1.24012E+12,1.49242E+12,5.39603E+11,95253442371,11896546686,1.3307E+11,1.69458E+11,1.28178E+12,1.24021E+12,3.59475E+11,4195422793,4776535783,3.59117E+11,5023676368,8.92182E+11,3089001242,9.33805E+11,171172093,13570414050,4679925134,1500951450,1667476843,5259448558,269261375,3277264542,1673512990,417128375,0,4.19726E+11,0.830943863
538,2594.49,2.67282E+12,2.56516E+12,5.06731E+11,13649075968,2527370061,2.54889E+11,2.9445E+11,2.68211E+12,2.6725E+12,7.32504E+11,6075644201,23180420353,7.38492E+11,2139553436,1.33531E+12,355655912,1.42445E+12,148341149,46643520492,23203347963,3232380144,4377193067,4092063626,71072858,6635689499,3512655494,102617865,0,8.17471E+11,1.041970008
541,1629.84,1.50316E+12,1.58023E+12,3.57766E+11,1.2414E+11,26041438468,1.88068E+11,2.39315E+11,1.59614E+12,1.50364E+12,4.38154E+11,4597755361,6633790004,4.36702E+11,3378229378,1.16555E+12,857992606,1.18031E+12,587486222,15326105911,7367108639,2234542458,2736115766,4130352036,56068009,4829394237,2625678076,201227014,0,4.99134E+11,0.95122905
544,2077.41,1.19462E+12,2.02294E+12,1.14914E+12,20463381733,4690024413,1.21663E+11,1.29445E+11,1.21428E+12,1.19357E+12,2.8693E+11,5747595226,13897930100,2.85961E+11,10511358808,6.71938E+11,297069124,6.74796E+11,142409796,28158092191,13882361756,5551071733,5655645507,11614392134,37879967,11216014566,5687625295,307140140,0,3.23028E+11,0.590537422
548,1954.94,2.50085E+12,1.95355E+12,2.11844E+11,1.12484E+11,20441829619,2.95558E+11,3.21244E+11,2.58618E+12,2.50078E+12,6.80785E+11,288623579,340520746,6.80513E+11,355864014,1.57698E+12,489040071,1.58467E+12,176108278,1373749373,309737704,429761992,533498244,551510977,15877791,882606687,445513288,10353950,0,8.57658E+11,1.280155395
549,4725.75,6.30066E+11,2.67445E+12,2.12024E+12,10201341725,264272437,19396382633,21800061783,6.21366E+11,6.24978E+11,3.23955E+11,13561218387,32368006884,3.25957E+11,11867033725,3.32334E+11,318991987,3.34032E+11,413398193,64007174038,31732475053,24944975011,25490276337,18031896218,969803342,49844475099,25598953314,18027246225,0,3.59104E+11,0.235586788
554,3300.97,5.73666E+11,1.84894E+12,1.25856E+12,9813922288,400310307,36000651832,40692343860,5.81033E+11,5.78375E+11,3.45532E+11,18281093750,40186115322,3.45908E+11,10573698621,3.07885E+11,271538282,3.14439E+11,104572015,81163920798,40714127280,27209970253,27756373993,11757785664,558339243,54919368188,27780598383,8903050641,0,3.73587E+11,0.310268167
557,1862.82,1.27084E+12,1.75056E+12,9.06214E+11,46784799554,9477116627,1.87219E+11,2.08525E+11,1.31301E+12,1.26906E+12,2.74538E+11,10773832999,14007542361,2.75319E+11,14281213765,8.00811E+11,345561043,8.10888E+11,179262640,28809064806,14175975460,6473664079,6644644254,14783046186,1844898647,13090287357,6591619979,1629119272,0,2.94657E+11,0.725963352
